Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.17814669999415855
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 116 | Reward: 110.62 | Avg: 105.46 | Epsilon: 0.890 | Steps: 437
Episode 117 | Reward: 111.90 | Avg: 105.43 | Epsilon: 0.889 | Steps: 571
Episode 118 | Reward: 108.12 | Avg: 105.50 | Epsilon: 0.888 | Steps: 452
Episode 119 | Reward: 115.84 | Avg: 105.88 | Epsilon: 0.887 | Steps: 599
Episode 120 | Reward: 110.75 | Avg: 105.86 | Epsilon: 0.886 | Steps: 676
Episode 121 | Reward: 103.24 | Avg: 105.87 | Epsilon: 0.885 | Steps: 442
Episode 122 | Reward: 112.88 | Avg: 106.08 | Epsilon: 0.884 | Steps: 765
Episode 123 | Reward: 99.20 | Avg: 106.10 | Epsilon: 0.883 | Steps: 154
Episode 124 | Reward: 103.54 | Avg: 105.95 | Epsilon: 0.882 | Steps: 216
Episode 125 | Reward: 105.20 | Avg: 105.81 | Epsilon: 0.882 | Steps: 286
Episode 126 | Reward: 111.17 | Avg: 106.03 | Epsilon: 0.881 | Steps: 675
Episode 127 | Reward: 109.89 | Avg: 106.20 | Epsilon: 0.880 | Steps: 678
Episode 128 | Reward: 96.25 | Avg: 106.20 | Epsilon: 0.879 | Steps: 81
Episode 129 | Reward: 95.59 | Avg: 106.04 | Epsilon: 0.878 | Steps: 81
Episode 130 | Reward: 104.59 | Avg: 105.98 | Epsilon: 0.877 | Steps: 374
Episode 131 | Reward: 110.37 | Avg: 105.69 | Epsilon: 0.876 | Steps: 558
Episode 132 | Reward: 97.99 | Avg: 105.64 | Epsilon: 0.875 | Steps: 198
Episode 133 | Reward: 104.62 | Avg: 105.81 | Epsilon: 0.875 | Steps: 361
Episode 134 | Reward: 125.10 | Avg: 106.33 | Epsilon: 0.874 | Steps: 1533
Episode 135 | Reward: 103.78 | Avg: 106.30 | Epsilon: 0.873 | Steps: 223
Episode 136 | Reward: 112.30 | Avg: 106.45 | Epsilon: 0.872 | Steps: 439
Episode 137 | Reward: 98.94 | Avg: 106.03 | Epsilon: 0.871 | Steps: 175
Episode 138 | Reward: 96.37 | Avg: 105.94 | Epsilon: 0.870 | Steps: 97
Episode 139 | Reward: 98.53 | Avg: 105.84 | Epsilon: 0.869 | Steps: 188
Episode 140 | Reward: 104.74 | Avg: 105.76 | Epsilon: 0.868 | Steps: 272
Episode 141 | Reward: 118.11 | Avg: 106.02 | Epsilon: 0.868 | Steps: 847
Episode 142 | Reward: 118.42 | Avg: 106.33 | Epsilon: 0.867 | Steps: 971
Episode 143 | Reward: 108.01 | Avg: 106.24 | Epsilon: 0.866 | Steps: 403
Episode 144 | Reward: 100.37 | Avg: 106.23 | Epsilon: 0.865 | Steps: 206
